,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
343,344,Romeo Akbar Walter,"$688,719","$236,299",34.3%,"$452,420",65.7%,2019,"Eros InternationalSee full company information

","$142,102",,"April 4, 2019
            (EMEA, APAC)",Not Rated,2 hr 21 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

"
344,345,Bethany Hamilton: Unstoppable,"$684,078","$590,671",86.3%,"$93,407",13.7%,2019,"Entertainment Studios Motion PicturesSee full company information

","$241,740",,"July 12, 2019
            (Domestic)",PG,1 hr 40 min,"Documentary
    
        Sport","See more details at IMDbPro

"
345,346,Stockholm,"$665,527","$292,590",44%,"$372,937",56%,2019,Smith Global Media,,,"April 12, 2019
            (Domestic)",R,1 hr 32 min,"Biography
    
        Comedy
    
        Crime
    
        Drama
    
        History","See more details at IMDbPro

"
346,347,The Public,"$644,740","$573,503",89%,"$71,237",11%,2019,"Greenwich EntertainmentSee full company information

","$259,455",,"April 5, 2019
            (Domestic)",PG-13,1 hr 59 min,Drama,"See more details at IMDbPro

"
347,348,Marjaavaan,"$641,154","$174,164",27.2%,"$466,990",72.8%,2019,"Eros InternationalSee full company information

","$101,761",,"November 14, 2019
            (APAC, EMEA)",,2 hr 32 min,"Action
    
        Drama
    
        Romance","See more details at IMDbPro

"
348,349,Aquarela,"$638,907","$307,346",48.1%,"$331,561",51.9%,2019,"Sony Pictures ClassicsSee full company information

","$24,753",,"August 16, 2019
            (Domestic)",PG,1 hr 30 min,Documentary,"See more details at IMDbPro

"
349,350,Asako I & II,"$627,102","$25,559",4.1%,"$601,543",95.9%,2019,"Grasshopper FilmSee full company information

","$5,690",,"January 2, 2019
            (France)",,1 hr 59 min,"Drama
    
        Romance","See more details at IMDbPro

"
350,351,Give Me Liberty,"$624,445","$242,734",38.9%,"$381,711",61.1%,2019,"Music Box FilmsSee full company information

","$33,261",,"July 24, 2019
            (France)",,1 hr 50 min,"Comedy
    
        Drama","See more details at IMDbPro

"
351,352,Nancy Drew and the Hidden Staircase,"$623,088","$623,088",100%,-,-,2019,"Warner Bros.See full company information

",,,"March 15, 2019
            (Domestic)",PG,1 hr 29 min,"Comedy
    
        Crime
    
        Drama
    
        Family
    
        Mystery","See more details at IMDbPro

"
352,353,Killerman,"$614,366","$291,477",47.4%,"$322,889",52.6%,2019,"Blue Fox EntertainmentSee full company information

","$153,799",,"August 30, 2019
            (Domestic)",R,1 hr 52 min,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
353,354,The Muppet Movie 2019 Re-release,"$610,475","$610,475",100%,-,-,2019,Associated Film Distribution,,,"June 22, 1979
            (Domestic)",,1 hr 35 min,"Adventure
    
        Comedy
    
        Family
    
        Musical","See more details at IMDbPro

"
354,355,Bolshoi Ballet: The Sleeping Beauty,"$606,872","$311,368",51.3%,"$295,504",48.7%,2019,"Fathom EventsSee full company information

","$311,368",,"March 10, 2019
            (Domestic, EMEA)",,2 hr 50 min,"Fantasy
    
        Music
    
        Romance","See more details at IMDbPro

"
355,356,The Golden Glove,"$604,479","$6,160",1%,"$598,319",99%,2019,"Strand ReleasingSee full company information

","$2,300",,"February 21, 2019
            (Germany)",,1 hr 55 min,"Crime
    
        Drama
    
        Horror
    
        Thriller","See more details at IMDbPro

"
356,357,To Kill a Mockingbird 2019 Re-release,"$592,237","$592,237",100%,-,-,2019,"Universal PicturesSee full company information

",,,"December 25, 1962
            (Domestic)",,2 hr 9 min,"Crime
    
        Drama","See more details at IMDbPro

"
357,358,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904","$378,405",63.9%,"$213,499",36.1%,2019,"Trafalgar ReleasingSee full company information

","$38,761",,"July 5, 2019
            (United Kingdom)",,2 hr 17 min,"Documentary
    
        Music","See more details at IMDbPro

"
358,359,The Wonderland,"$591,857","$50,876",8.6%,"$540,981",91.4%,2019,"Eleven ArtsSee full company information

","$1,320",,"July 24, 2019
            (France)",,1 hr 55 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
359,360,And Then We Danced,"$580,216","$177,262",30.6%,"$402,954",69.4%,2019,"Music Box FilmsSee full company information

","$13,880",,"November 7, 2019
            (Netherlands)",,1 hr 53 min,"Drama
    
        Romance","See more details at IMDbPro

"
360,361,The Painted Bird,"$578,320",$754,0.1%,"$577,566",99.9%,2019,"IFC FilmsSee full company information

",$452,,"September 12, 2019
            (Czech Republic)",,2 hr 49 min,"Drama
    
        War","See more details at IMDbPro

"
361,362,Light of My Life,"$573,790","$20,056",3.5%,"$553,734",96.5%,2019,"Saban FilmsSee full company information

","$9,358",,"August 9, 2019
            (Domestic)",R,1 hr 59 min,"Drama
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
362,363,The Goonies 2020 Re-release,"$564,852","$213,000",37.7%,"$351,852",62.3%,2019,"Warner Bros.See full company information

","$9,105,913",,"June 7, 1985
            (Domestic)",,1 hr 54 min,"Adventure
    
        Comedy
    
        Family","See more details at IMDbPro

"
363,364,My Fair Lady 2019 Re-release,"$560,711","$560,711",100%,-,-,2019,"Warner Bros.See full company information

",,"$17,000,000","October 21, 1964
            (Domestic)",G,2 hr 50 min,"Drama
    
        Family
    
        Musical
    
        Romance","See more details at IMDbPro

"
364,365,Fiddler: A Miracle of Miracles,"$558,816","$549,386",98.3%,"$9,430",1.7%,2019,"Roadside AttractionsSee full company information

","$36,425",,"August 23, 2019
            (Domestic)",PG-13,1 hr 37 min,Documentary,"See more details at IMDbPro

"
365,366,"DCI 2019: Big, Loud & Live 16","$546,060","$546,060",100%,-,-,2019,"Fathom EventsSee full company information

",,,"August 8, 2019
            (Domestic)",,,,"See more details at IMDbPro

"
366,367,The Day Shall Come,"$543,993","$26,972",5%,"$517,021",95%,2019,"IFC FilmsSee full company information

","$14,854",,"September 27, 2019
            (Domestic)",,1 hr 27 min,"Comedy
    
        Crime","See more details at IMDbPro

"
367,368,Grateful Dead Meet-Up 2019,"$537,153","$537,153",100%,-,-,2019,"Trafalgar ReleasingSee full company information

","$3,786",,"August 1, 2019
            (Domestic)",,2 hr,"Documentary
    
        Music","See more details at IMDbPro

"
368,369,CatVideoFest,"$536,566","$470,923",87.8%,"$65,643",12.2%,2019,"OscilloscopeSee full company information

","$11,269",,"February 15, 2019
            (Domestic)",,1 hr 10 min,Reality-TV,"See more details at IMDbPro

"
369,370,Margaret Atwood: Live in Cinemas,"$529,285","$93,690",17.7%,"$435,595",82.3%,2019,"Fathom EventsSee full company information

",,,"September 6, 2019
            (United Kingdom)",,1 hr 50 min,News,"See more details at IMDbPro

"
370,371,The Audience 2019 Re-release,"$523,432","$106,529",20.4%,"$416,903",79.6%,2019,,,,"July 4, 2013
            (Australia)",,2 hr 53 min,Drama,"See more details at IMDbPro

"
371,372,Bolshoi Ballet: Carmen Suite/Petrushka,"$522,179","$207,523",39.7%,"$314,656",60.3%,2019,"Fathom EventsSee full company information

","$207,523",,"May 17, 2019
            (United Kingdom)",,2 hr 20 min,"Drama
    
        Music","See more details at IMDbPro

"
372,373,The Spy Behind Home Plate,"$519,525","$519,525",100%,-,-,2019,"Ciesla FoundationSee full company information

","$10,250",,"May 24, 2019
            (Domestic)",Not Rated,1 hr 41 min,Documentary,"See more details at IMDbPro

"
373,374,Wild Nights with Emily,"$519,487","$519,487",100%,-,-,2019,"Greenwich EntertainmentSee full company information

","$30,209",,"April 12, 2019
            (Domestic)",PG-13,1 hr 24 min,"Comedy
    
        History","See more details at IMDbPro

"
374,375,"A White, White Day","$516,941",-,-,"$516,941",100%,2019,"Film MovementSee full company information

",,,"July 25, 2019
            (Czech Republic)",,1 hr 49 min,Drama,"See more details at IMDbPro

"
375,376,Saving Private Ryan 2019 Re-release,"$508,694","$508,694",100%,-,-,2019,"DreamWorks DistributionSee full company information

","$30,576,104","$70,000,000","July 24, 1998
            (Domestic)",R,2 hr 49 min,"Drama
    
        War","See more details at IMDbPro

"
376,377,Synonyms,"$501,223","$206,003",41.1%,"$295,220",58.9%,2019,"Kino LorberSee full company information

","$17,891",,"March 27, 2019
            (France)",,2 hr 3 min,"Comedy
    
        Drama","See more details at IMDbPro

"
377,378,Whisper of the Heart 2019 Re-release,"$498,156","$498,156",100%,-,-,2019,,,,"November 22, 2007
            (South Korea)",,1 hr 51 min,"Animation
    
        Drama
    
        Family
    
        Music
    
        Romance","See more details at IMDbPro

"
378,379,The Great Alaskan Race,"$496,065","$485,603",97.9%,"$10,462",2.1%,2019,,,,"October 25, 2019
            (Domestic)",PG,1 hr 27 min,"Action
    
        Adventure
    
        Drama
    
        History","See more details at IMDbPro

"
379,380,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770","$495,770",100%,-,-,2019,,,,"August 23, 2006
            (France)",PG,1 hr 57 min,"Adventure
    
        Animation
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

"
380,381,Monty Python's Life of Brian 2019 Re-release,"$493,971","$161,507",32.7%,"$332,464",67.3%,2019,"Warner Bros.See full company information

","$140,034",,"August 17, 1979
            (Domestic)",,1 hr 34 min,Comedy,"See more details at IMDbPro

"
381,382,The Russian Five,"$485,049","$485,049",100%,-,-,2019,Lucky Hat Entertainment,"$156,732",,"March 21, 2019
            (Domestic)",,1 hr 42 min,"Documentary
    
        Sport","See more details at IMDbPro

"
382,383,63 Up,"$483,684","$483,684",100%,-,-,2019,"BritBoxSee full company information

","$13,956",,"November 27, 2019
            (Domestic)",,2 hr 25 min,Documentary,"See more details at IMDbPro

"
383,384,Liam Gallagher: As It Was,"$477,009",-,-,"$477,009",100%,2019,"Screen Media FilmsSee full company information

",,,"June 7, 2019
            (United Kingdom)",,1 hr 25 min,"Documentary
    
        Music","See more details at IMDbPro

"
384,385,Gorillaz: Reject False Icons,"$475,465","$453,687",95.4%,"$21,778",4.6%,2019,"Trafalgar ReleasingSee full company information

",,,"December 16, 2019
            (Domestic)",,1 hr 35 min,"Documentary
    
        Music","See more details at IMDbPro

"
385,386,Hail Satan?,"$467,361","$424,284",90.8%,"$43,077",9.2%,2019,"Magnolia PicturesSee full company information

","$26,496",,"April 17, 2019
            (Domestic)",R,1 hr 35 min,Documentary,"See more details at IMDbPro

"
386,387,Christmas Jars,"$459,462","$459,462",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 4, 2019
            (Domestic)",,1 hr 50 min,Drama,"See more details at IMDbPro

"
387,388,Cruel Intentions 2019 Re-release,"$445,218","$445,218",100%,-,-,2019,"Sony Pictures Entertainment (SPE)See full company information

","$13,020,565","$10,500,000","March 5, 1999
            (Domestic)",R,1 hr 37 min,"Drama
    
        Romance","See more details at IMDbPro

"
388,389,StarDog and TurboCat,"$439,262","$80,490",18.3%,"$358,772",81.7%,2019,"Viva PicturesSee full company information

","$31,305",,"December 6, 2019
            (United Kingdom)",PG,1 hr 30 min,"Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

"
389,390,What We Left Behind: Star Trek DS9,"$434,437","$382,457",88%,"$51,980",12%,2019,"Fathom EventsSee full company information

",,,"May 13, 2019
            (Domestic)",,1 hr 56 min,Documentary,"See more details at IMDbPro

"
390,391,Ghostbusters 2019 Re-release,"$430,435","$369,612",85.9%,"$60,823",14.1%,2019,"Columbia PicturesSee full company information

","$13,578,151","$30,000,000","June 8, 1984
            (Domestic)",,1 hr 45 min,"Action
    
        Comedy
    
        Fantasy","See more details at IMDbPro

"
391,392,Killing Sarai,"$425,332","$425,332",100%,-,-,2019,"Pantelion FilmsSee full company information

","$226,670",,"December 6, 2019
            (Domestic)",R,1 hr 46 min,"Romance
    
        Thriller","See more details at IMDbPro

"
392,393,Ben-Hur 2019 Re-release,"$422,622","$422,622",100%,-,-,2019,"Metro-Goldwyn-Mayer (MGM)See full company information

",,"$15,000,000","November 18, 1959
            (Domestic)",,3 hr 32 min,"Adventure
    
        Drama
    
        History","See more details at IMDbPro

"
393,394,The Cold Blue,"$420,177","$420,177",100%,-,-,2019,"Fathom EventsSee full company information

",,,"May 23, 2019
            (Domestic)",TV-PG,1 hr 41 min,"Documentary
    
        War","See more details at IMDbPro

"
394,395,Bolshoi Ballet: Le Corsaire,"$417,152","$190,192",45.6%,"$226,960",54.4%,2019,"Fathom EventsSee full company information

","$190,192",,"November 15, 2019
            (United Kingdom)",,,,"See more details at IMDbPro

"
395,396,The Reliant,"$408,747","$408,747",100%,-,-,2019,"Fathom EventsSee full company information

",,,"October 24, 2019
            (Domestic)",PG-13,2 hr 20 min,Action,"See more details at IMDbPro

"
396,397,Meet Me in St. Louis 75th Anniversary,"$403,521","$403,521",100%,-,-,2019,"Metro-Goldwyn-Mayer (MGM)See full company information

",,"$1,700,000","November 28, 1944
            (Domestic)",,1 hr 53 min,"Comedy
    
        Drama
    
        Family
    
        Musical
    
        Romance","See more details at IMDbPro

"
397,398,"Hello, Dolly!","$400,881","$400,881",100%,-,-,2019,"Fathom EventsSee full company information

","$221,204",,"August 11, 2019
            (Domestic)",,2 hr 26 min,"Adventure
    
        Comedy
    
        Musical
    
        Romance","See more details at IMDbPro

"
398,399,The Shawshank Redemption 2019 Re-release,"$387,095","$358,507",92.6%,"$28,588",7.4%,2019,"Columbia PicturesSee full company information

","$727,327","$25,000,000","September 23, 1994
            (Domestic)",R,2 hr 22 min,Drama,"See more details at IMDbPro

"
399,400,The Wedding Guest,"$386,166","$386,166",100%,-,-,2019,"IFC FilmsSee full company information

","$18,266",,"March 1, 2019
            (Domestic)",R,1 hr 36 min,Thriller,"See more details at IMDbPro

"
400,401,The Secret World of Arrietty 2019 Re-release,"$384,289","$384,289",100%,-,-,2019,Walt Disney Studios,"$6,446,395",,"July 17, 2010
            (Japan)",,1 hr 34 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
401,402,Great Performances at the Met: Puccini: Turandot,"$375,295",-,-,"$375,295",100%,2019,"Fathom EventsSee full company information

",,,"October 11, 2019
            (United Kingdom)",,,Musical,"See more details at IMDbPro

"
402,403,INXS: Baby Live at Wembly Stadium,"$366,425","$161,750",44.1%,"$204,675",55.9%,2019,"Fathom EventsSee full company information

",,,"November 14, 2019
            (APAC)",,,,"See more details at IMDbPro

"
403,404,Lords of Chaos,"$365,353","$253,184",69.3%,"$112,169",30.7%,2019,"Gunpowder & SkySee full company information

","$27,649",,"February 8, 2019
            (Domestic)",R,1 hr 58 min,"Biography
    
        Drama
    
        Horror
    
        Music
    
        Thriller","See more details at IMDbPro

"
404,405,Clemency,"$364,716","$364,716",100%,-,-,2019,"NeonSee full company information

","$35,444",,"December 27, 2019
            (Domestic)",R,1 hr 52 min,Drama,"See more details at IMDbPro

"
405,406,The Tobacconist,"$360,996",-,-,"$360,996",100%,2019,"Menemsha FilmsSee full company information

",,,"June 7, 2019
            (Spain)",,1 hr 57 min,"Drama
    
        History
    
        War","See more details at IMDbPro

"
406,407,K-12,"$359,377","$303,230",84.4%,"$56,147",15.6%,2019,"AbramoramaSee full company information

",,,"September 5, 2019
            (5 markets)",,1 hr 36 min,"Fantasy
    
        Horror
    
        Musical","See more details at IMDbPro

"
407,408,The Tomorrow Man,"$354,103","$354,103",100%,-,-,2019,"Bleecker Street MediaSee full company information

","$18,281",,"May 22, 2019
            (Domestic)",PG-13,1 hr 34 min,"Drama
    
        Romance","See more details at IMDbPro

"
408,409,Star Trek: The Motion Picture 2019 Re-release,"$346,243","$346,243",100%,-,-,2019,"Paramount PicturesSee full company information

","$11,926,421","$35,000,000","December 7, 1979
            (Domestic)",G,2 hr 12 min,"Adventure
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
409,410,Triple Threat,"$345,900","$76,289",22.1%,"$269,611",77.9%,2019,"Well Go USA EntertainmentSee full company information

","$5,936",,"March 19, 2019
            (Domestic)",R,1 hr 36 min,"Action
    
        Thriller","See more details at IMDbPro

"
410,411,Freaks,"$344,321","$276,591",80.3%,"$67,730",19.7%,2019,"Well Go USA EntertainmentSee full company information

","$161,543",,"September 12, 2019
            (Australia)",R,1 hr 45 min,"Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
411,412,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632","$271,489",80.2%,"$67,143",19.8%,2019,"Fathom EventsSee full company information

",,,"April 18, 2019
            (South Korea)",,1 hr 22 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
412,413,First Love,"$336,756","$218,329",64.8%,"$118,427",35.2%,2019,"Well Go USA EntertainmentSee full company information

","$21,151",,"September 27, 2019
            (Domestic)",,1 hr 48 min,"Action
    
        Comedy
    
        Crime
    
        Romance","See more details at IMDbPro

"
413,414,Diane,"$336,166","$336,166",100%,-,-,2019,"IFC FilmsSee full company information

","$24,467",,"March 29, 2019
            (Domestic)",Not Rated,1 hr 35 min,Drama,"See more details at IMDbPro

"
414,415,Anthropocene: The Human Epoch,"$334,162","$104,806",31.4%,"$229,356",68.6%,2019,"Kino LorberSee full company information

","$16,038",,"September 19, 2019
            (Italy)",,1 hr 27 min,Documentary,"See more details at IMDbPro

"
415,416,A Silent Voice: The Movie 2019 Re-release,"$333,984","$333,984",100%,-,-,2019,"Eleven ArtsSee full company information

","$121,732",,"September 17, 2016
            (Japan)",,2 hr 10 min,"Animation
    
        Drama
    
        Family
    
        Romance","See more details at IMDbPro

"
416,417,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979","$328,979",100%,-,-,2019,"Fathom EventsSee full company information

","$328,979",,"March 16, 2019
            (Domestic)",,3 hr 43 min,Sport,"See more details at IMDbPro

"
417,418,Lucy in the Sky,"$325,950","$319,976",98.2%,"$5,974",1.8%,2019,"Fox Searchlight PicturesSee full company information

","$54,058",,"October 4, 2019
            (Domestic)",R,2 hr 4 min,"Drama
    
        Sci-Fi","See more details at IMDbPro

"
418,419,Sword of Trust,"$323,369","$322,421",99.7%,$948,0.3%,2019,"IFC FilmsSee full company information

","$19,332",,"July 12, 2019
            (Domestic)",R,1 hr 28 min,"Comedy
    
        Drama","See more details at IMDbPro

"
419,420,Woodstock,"$320,610","$126,562",39.5%,"$194,048",60.5%,2019,"Fathom EventsSee full company information

",,,"August 15, 2019
            (EMEA, Domestic)",R,3 hr 4 min,"Documentary
    
        History
    
        Music","See more details at IMDbPro

"
420,421,Cunningham,"$320,293","$265,102",82.8%,"$55,191",17.2%,2019,"Magnolia PicturesSee full company information

","$18,422",,"December 13, 2019
            (Domestic)",PG,1 hr 33 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

"
421,422,Meeting Gorbachev,"$319,230","$251,837",78.9%,"$67,393",21.1%,2019,"1091 MediaSee full company information

","$18,128",,"May 3, 2019
            (Domestic)",Not Rated,1 hr 30 min,"Biography
    
        Documentary
    
        History","See more details at IMDbPro

"
422,423,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-,2019,"Fathom EventsSee full company information

",,,"September 11, 2019
            (Domestic)",,1 hr 24 min,Documentary,"See more details at IMDbPro

"
423,424,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%,2019,"Magnolia PicturesSee full company information

","$93,128",,"May 3, 2019
            (Domestic)",Not Rated,1 hr 40 min,"Biography
    
        Documentary","See more details at IMDbPro

"
424,425,Josh Groban Bridges Live from Madison Square Garden,"$315,173","$315,173",100%,-,-,2019,"Trafalgar ReleasingSee full company information

",,,"February 8, 2019
            (Domestic)",,,,"See more details at IMDbPro

"
425,426,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%,2019,"Fathom EventsSee full company information

","$52,502",,"September 7, 2019
            (Domestic)",,2 hr,,"See more details at IMDbPro

"
426,427,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%,2019,"Film MovementSee full company information

","$3,339",,"January 11, 2019
            (Spain)",R,1 hr 36 min,Drama,"See more details at IMDbPro

"
427,428,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%,2019,"Round Hill MediaSee full company information

","$16,350",,"March 1, 2019
            (Domestic)",R,2 hr 17 min,Drama,"See more details at IMDbPro

"
428,429,Beats,"$300,105",-,-,"$300,105",100%,2019,"Music Box FilmsSee full company information

",,,"May 17, 2019
            (United Kingdom)",,1 hr 41 min,"Comedy
    
        Crime
    
        Drama
    
        Music","See more details at IMDbPro

"
429,430,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%,2019,"Trafalgar ReleasingSee full company information

","$111,273",,"November 7, 2019
            (Argentina)",,2 hr 2 min,"Documentary
    
        Music","See more details at IMDbPro

"
430,431,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-,2019,"Fathom EventsSee full company information

",,,"August 15, 2019
            (Domestic)",,1 hr 24 min,"Horror
    
        Sci-Fi","See more details at IMDbPro

"
431,432,The Godfather: Part II 45th Anniversary,"$291,754","$291,754",100%,-,-,2019,"Paramount PicturesSee full company information

",,"$13,000,000","December 12, 1974
            (Domestic)",,3 hr 22 min,"Crime
    
        Drama","See more details at IMDbPro

"
432,433,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%,2019,"FIPSee full company information

","$79,517",,"September 19, 2019
            (APAC, EMEA)",,2 hr 14 min,"Comedy
    
        Drama
    
        Romance
    
        Sport","See more details at IMDbPro

"
433,434,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-,2019,"Fathom EventsSee full company information

",,,"May 16, 2019
            (Domestic)",Not Rated,1 hr 55 min,"Action
    
        Adventure
    
        Animation
    
        Fantasy
    
        War","See more details at IMDbPro

"
434,435,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-,2019,"Trafalgar ReleasingSee full company information

",,,"April 3, 2019
            (Domestic)",,45 min,Drama,"See more details at IMDbPro

"
435,436,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-,2019,"Magnolia PicturesSee full company information

","$19,437",,"July 26, 2019
            (Domestic)",PG-13,1 hr 30 min,"Biography
    
        Documentary","See more details at IMDbPro

"
436,437,Octaman,"$280,710","$280,710",100%,-,-,2019,"Fathom EventsSee full company information

",,,"April 18, 2019
            (Domestic)",,1 hr 19 min,"Horror
    
        Sci-Fi","See more details at IMDbPro

"
437,438,Bolshoi Ballet: The Golden Age,"$277,666","$171,916",61.9%,"$105,750",38.1%,2019,"Fathom EventsSee full company information

","$171,916",,"April 7, 2019
            (Domestic, EMEA)",,2 hr 20 min,,"See more details at IMDbPro

"
438,439,See You Soon,"$277,126",-,-,"$277,126",100%,2019,"Vertical EntertainmentSee full company information

",,,"July 25, 2019
            (Russia/CIS)",R,1 hr 47 min,"Drama
    
        Romance","See more details at IMDbPro

"
439,440,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-,2019,"Paramount PicturesSee full company information

",,,"June 11, 1969
            (Domestic)",G,2 hr 8 min,"Adventure
    
        Drama
    
        Western","See more details at IMDbPro

"
440,441,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%,2019,"Trafalgar ReleasingSee full company information

",,,"October 31, 2019
            (Argentina)",,2 hr 11 min,Music,"See more details at IMDbPro

"
441,442,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%,2019,"Amazon StudiosSee full company information

","$20,523",,"August 9, 2019
            (Domestic)",R,1 hr 28 min,"Documentary
    
        History","See more details at IMDbPro

"
442,443,The Tale of The Princess Kaguya 2019 Re-release,"$271,681","$271,681",100%,-,-,2019,"GKIDSSee full company information

","$54,915",,"November 23, 2013
            (Japan)",PG,2 hr 17 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

"
443,444,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-,2019,"Fathom EventsSee full company information

",,,"October 29, 2019
            (Domestic)",,1 hr 35 min,Musical,"See more details at IMDbPro

"
444,445,Out of Liberty,"$265,279","$265,279",100%,-,-,2019,"Purdie DistributionSee full company information

","$66,546",,"September 13, 2019
            (Domestic)",PG,1 hr 51 min,"Drama
    
        Western","See more details at IMDbPro

"
445,446,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%,2019,"Trafalgar ReleasingSee full company information

","$7,437",,"May 22, 2019
            (Domestic, EMEA)",,1 hr 56 min,"Documentary
    
        Music","See more details at IMDbPro

"
446,447,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%,2019,"Gunpowder & SkySee full company information

","$36,941",,"April 12, 2019
            (Domestic)",R,2 hr 16 min,"Drama
    
        Music","See more details at IMDbPro

"
447,448,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-,2019,"Fathom EventsSee full company information

",,,"June 6, 2019
            (Domestic)",,1 hr 23 min,"Adventure
    
        Sci-Fi","See more details at IMDbPro

"
448,449,The Cave,"$258,921","$62,625",24.2%,"$196,296",75.8%,2019,"National Geographic EntertainmentSee full company information

","$21,185",,"October 18, 2019
            (Domestic)",PG-13,1 hr 47 min,"Documentary
    
        War","See more details at IMDbPro

"
449,450,When Harry Met Sally... 30th Anniversary,"$252,320","$252,320",100%,-,-,2019,"Columbia PicturesSee full company information

","$1,094,453",,"July 14, 1989
            (Domestic)",,1 hr 35 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

"
450,451,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-,2019,Urban Movie Channel,"$149,036",,"July 12, 2019
            (Domestic)",,1 hr 47 min,Comedy,"See more details at IMDbPro

"
451,452,Canal Street,"$251,917","$251,917",100%,-,-,2019,Smith Global Media,"$108,259",,"January 18, 2019
            (Domestic)",PG-13,1 hr 29 min,"Drama
    
        Thriller","See more details at IMDbPro

"
452,453,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 14, 2019
            (Domestic)",,3 hr,"Drama
    
        Fantasy
    
        Horror","See more details at IMDbPro

"
453,454,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-,2019,"Fathom EventsSee full company information

",,,"August 7, 2019
            (Domestic)",,1 hr,"Adventure
    
        Drama
    
        Family
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
454,456,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%,2019,"Roadside AttractionsSee full company information

","$110,552",,"June 14, 2019
            (Domestic)",R,1 hr 51 min,"Drama
    
        Mystery","See more details at IMDbPro

"
455,457,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%,2019,"IFC FilmsSee full company information

","$11,719",,"March 22, 2019
            (Domestic)",,1 hr 49 min,"Crime
    
        Drama
    
        Mystery","See more details at IMDbPro

"
456,458,Play the Flute,"$241,251","$241,251",100%,-,-,2019,"Five & Two PicturesSee full company information

",,,"January 28, 2019
            (Domestic)",,1 hr 43 min,Drama,"See more details at IMDbPro

"
457,459,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-,2019,"Trafalgar ReleasingSee full company information

",,,"March 11, 2019
            (Domestic)",,2 hr 13 min,Music,"See more details at IMDbPro

"
458,460,Varda by Agnès,"$235,699","$160,765",68.2%,"$74,934",31.8%,2019,"Janus FilmsSee full company information

","$12,390",,"May 30, 2019
            (South Korea)",,1 hr 55 min,"Biography
    
        Documentary","See more details at IMDbPro

"
459,461,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%,2019,"FIPSee full company information

","$98,322",,"May 23, 2019
            (Australia)",Not Rated,2 hr 3 min,"Action
    
        Thriller","See more details at IMDbPro

"
