,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    ",Budget
0,1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Walt Disney Studios,"$257,698,183","April 25, 2018
            (APAC, EMEA)",PG-13,2 hr 29 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

",
1,2,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%,2018,Walt Disney Studios,"$202,003,951","February 13, 2018
            (EMEA, APAC)",PG-13,2 hr 14 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

",
2,3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%,2018,"Universal PicturesSee full company information

","$148,024,610","June 6, 2018
            (EMEA, APAC)",PG-13,2 hr 8 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$170,000,000"
3,4,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%,2018,Walt Disney Studios,"$182,687,905","June 14, 2018
            (16 markets)",PG,1 hr 58 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi","See more details at IMDbPro

",
4,5,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%,2018,"Warner Bros.See full company information

","$67,873,522","December 7, 2018
            (China)",PG-13,2 hr 23 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
5,6,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%,2018,"Twentieth Century FoxSee full company information

","$51,061,119","October 26, 2018
            (United Kingdom)",PG-13,2 hr 14 min,"Biography
    
        Drama
    
        Music","See more details at IMDbPro

","$52,000,000"
6,7,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$80,255,756","October 3, 2018
            (7 markets)",PG-13,1 hr 52 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$100,000,000"
7,8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%,2018,"Paramount PicturesSee full company information

","$61,236,534","July 25, 2018
            (APAC)",PG-13,2 hr 27 min,"Action
    
        Adventure
    
        Thriller","See more details at IMDbPro

","$178,000,000"
8,9,Deadpool 2,"$734,546,611","$318,491,426",43.4%,"$416,055,185",56.6%,2018,"Twentieth Century FoxSee full company information

","$125,507,153","May 16, 2018
            (18 markets)",R,1 hr 59 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi","See more details at IMDbPro

","$110,000,000"
9,10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.4%,"$495,300,000",75.6%,2018,"Warner Bros.See full company information

","$62,163,104","October 12, 2018
            (South Africa)",PG-13,2 hr 14 min,"Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

","$200,000,000"
10,11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%,2018,Walt Disney Studios,"$75,812,205","July 4, 2018
            (EMEA, APAC)",PG-13,1 hr 58 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi","See more details at IMDbPro

",
11,12,Ready Player One,"$582,890,172","$137,690,172",23.6%,"$445,200,000",76.4%,2018,"Warner Bros.See full company information

","$41,764,050","March 28, 2018
            (EMEA, APAC)",PG-13,2 hr 20 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$175,000,000"
12,13,Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%,2018,"Well Go USA EntertainmentSee full company information

","$436,059","February 16, 2018
            (China)",,2 hr 22 min,"Action
    
        Drama
    
        Thriller
    
        War","See more details at IMDbPro

",
13,14,Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%,2018,"Warner Bros.See full company information

","$704,047","February 15, 2018
            (APAC)",R,2 hr 1 min,"Action
    
        Comedy
    
        Mystery","See more details at IMDbPro

",
14,15,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,2018,Walt Disney Studios,"$56,237,634","November 21, 2018
            (Domestic, APAC)",PG,1 hr 52 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$175,000,000"
15,16,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$44,076,225","June 28, 2018
            (Australia)",PG,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$80,000,000"
16,17,The Grinch,"$511,595,957","$270,620,950",52.9%,"$240,975,007",47.1%,2018,"Universal PicturesSee full company information

","$67,572,855","November 7, 2018
            (LATAM, EMEA)",PG,1 hr 25 min,"Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$75,000,000"
17,18,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,2018,"Paramount PicturesSee full company information

","$21,654,047","December 19, 2018
            (Indonesia)",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$135,000,000"
18,19,A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%,2018,"Warner Bros.See full company information

","$42,908,051","October 3, 2018
            (EMEA)",R,2 hr 16 min,"Drama
    
        Music
    
        Romance","See more details at IMDbPro

","$36,000,000"
19,20,Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%,2018,"Warner Bros.See full company information

","$35,753,093","April 11, 2018
            (Indonesia)",PG-13,1 hr 47 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$120,000,000"
20,21,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.5%,"$274,409,771",69.5%,2018,"Universal PicturesSee full company information

","$34,952,180","July 18, 2018
            (EMEA, APAC)",PG-13,1 hr 54 min,"Comedy
    
        Musical
    
        Romance","See more details at IMDbPro

","$75,000,000"
21,22,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,2018,Walt Disney Studios,"$84,420,489","May 23, 2018
            (EMEA, APAC)",PG-13,2 hr 15 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$275,000,000"
22,23,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$35,363,376","December 12, 2018
            (APAC, EMEA)",PG,1 hr 57 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Sci-Fi","See more details at IMDbPro

","$90,000,000"
23,24,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,2018,"Universal PicturesSee full company information

","$38,560,195","February 7, 2018
            (EMEA, APAC)",R,1 hr 45 min,"Drama
    
        Romance
    
        Thriller","See more details at IMDbPro

","$55,000,000"
24,25,The Nun,"$365,550,119","$117,450,119",32.1%,"$248,100,000",67.9%,2018,"Warner Bros.See full company information

","$53,807,379","September 5, 2018
            (Indonesia)",R,1 hr 36 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$22,000,000"
25,26,Monster Hunt 2,"$361,682,618","$706,153",0.2%,"$360,976,465",99.8%,2018,"LionsgateSee full company information

","$341,834","February 15, 2018
            (APAC)",,1 hr 50 min,"Adventure
    
        Comedy
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
26,27,Peter Rabbit,"$351,266,433","$115,253,424",32.8%,"$236,013,009",67.2%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$25,010,928","February 8, 2018
            (Aruba)",PG,1 hr 35 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$50,000,000"
27,28,Mary Poppins Returns,"$349,537,494","$171,958,438",49.2%,"$177,579,056",50.8%,2018,Walt Disney Studios,"$23,523,121","December 19, 2018
            (Domestic, EMEA)",PG,2 hr 10 min,"Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

","$130,000,000"
28,29,A Quiet Place,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%,2018,"Paramount PicturesSee full company information

","$50,203,562","April 4, 2018
            (Indonesia)",PG-13,1 hr 30 min,"Drama
    
        Horror
    
        Sci-Fi","See more details at IMDbPro

","$17,000,000"
29,30,Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%,2018,"Universal PicturesSee full company information

","$320,429","November 16, 2018
            (Domestic)",PG-13,2 hr 10 min,"Biography
    
        Comedy
    
        Drama
    
        Music","See more details at IMDbPro

","$23,000,000"
30,31,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%,2018,"Universal PicturesSee full company information

","$24,905,015","July 11, 2018
            (APAC, EMEA)",PG-13,1 hr 42 min,"Action
    
        Adventure
    
        Thriller","See more details at IMDbPro

","$125,000,000"
31,32,Ocean's 8,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%,2018,"Warner Bros.See full company information

","$41,607,378","June 7, 2018
            (10 markets)",PG-13,1 hr 50 min,"Action
    
        Comedy
    
        Crime
    
        Thriller","See more details at IMDbPro

","$70,000,000"
32,33,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%,2018,"Universal PicturesSee full company information

","$28,116,535","March 21, 2018
            (7 markets)",PG-13,1 hr 51 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$150,000,000"
33,34,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%,2018,"Twentieth Century FoxSee full company information

","$24,167,011","January 17, 2018
            (South Korea)",PG-13,2 hr 23 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$62,000,000"
34,35,Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%,2018,"Warner Bros.See full company information

","$23,633,317","March 7, 2018
            (Indonesia)",PG-13,1 hr 59 min,"Action
    
        Adventure
    
        Fantasy
    
        Thriller","See more details at IMDbPro

","$94,000,000"
35,36,Halloween,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%,2018,"Universal PicturesSee full company information

","$76,221,545","October 17, 2018
            (APAC, LATAM)",R,1 hr 46 min,"Crime
    
        Horror
    
        Thriller","See more details at IMDbPro

","$10,000,000"
36,37,Crazy Rich Asians,"$238,532,921","$174,532,921",73.2%,"$64,000,000",26.8%,2018,"Warner Bros.See full company information

","$26,510,140","August 15, 2018
            (Domestic, EMEA)",PG-13,2 hr,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

","$30,000,000"
37,38,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,2018,"Metro-Goldwyn-Mayer (MGM)See full company information

","$35,574,710","November 21, 2018
            (Domestic)",PG-13,2 hr 10 min,"Drama
    
        Sport","See more details at IMDbPro

","$50,000,000"
38,39,Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%,2018,"Warner Bros.See full company information

","$23,045,635","September 20, 2018
            (EMEA, APAC)",PG,1 hr 36 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

",
39,40,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%,2018,"Well Go USA EntertainmentSee full company information

","$263,412","August 9, 2018
            (Australia)",,2 hr 14 min,"Comedy
    
        Drama","See more details at IMDbPro

",
40,41,Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%,2018,Walt Disney Studios,"$24,585,139","August 1, 2018
            (Philippines)",PG,1 hr 44 min,"Comedy
    
        Drama
    
        Family
    
        Fantasy","See more details at IMDbPro

","$75,000,000"
41,42,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$36,011,640","July 18, 2018
            (LATAM)",R,2 hr 1 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

","$62,000,000"
42,43,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,2018,"Warner Bros.See full company information

","$17,509,431","December 14, 2018
            (Domestic)",R,1 hr 56 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

","$50,000,000"
43,44,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018,Walt Disney Studios,"$20,352,491","October 31, 2018
            (APAC, EMEA)",PG,1 hr 39 min,"Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

","$120,000,000"
44,45,Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%,2018,"Universal PicturesSee full company information

","$29,581,355","January 3, 2018
            (LATAM, EMEA)",PG-13,1 hr 43 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$10,000,000"
45,46,Johnny English Strikes Again,"$158,970,776","$4,412,170",2.8%,"$154,558,606",97.2%,2018,"Universal PicturesSee full company information

","$1,638,895","September 13, 2018
            (APAC, LATAM)",PG,1 hr 29 min,"Action
    
        Adventure
    
        Comedy","See more details at IMDbPro

","$25,000,000"
46,47,Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%,2018,"Twentieth Century FoxSee full company information

","$16,853,422","February 28, 2018
            (8 markets)",R,2 hr 20 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

","$69,000,000"
47,48,More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%,2018,"China Lion Film DistributionSee full company information

","$185,928","November 30, 2018
            (Hong Kong)",,1 hr 45 min,Romance,"See more details at IMDbPro

",
48,49,The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%,2018,"Universal PicturesSee full company information

","$17,374,280","July 4, 2018
            (Domestic, EMEA)",R,1 hr 37 min,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$13,000,000"
49,50,How Long Will I Love U,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%,2018,"Well Go USA EntertainmentSee full company information

","$204,733","May 17, 2018
            (APAC)",,1 hr 41 min,"Comedy
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
50,51,A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%,2018,Walt Disney Studios,"$33,123,609","March 8, 2018
            (APAC, EMEA)",PG,1 hr 49 min,"Adventure
    
        Family
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
51,52,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.1%,"$62,907,452",47.9%,2018,"Universal PicturesSee full company information

","$26,608,020","September 19, 2018
            (APAC, LATAM)",PG,1 hr 45 min,"Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

","$42,000,000"
52,53,Instant Family,"$120,556,201","$67,363,237",55.9%,"$53,192,964",44.1%,2018,"Paramount PicturesSee full company information

","$14,504,315","November 16, 2018
            (Domestic)",PG-13,1 hr 58 min,"Comedy
    
        Drama","See more details at IMDbPro

","$48,000,000"
53,54,A Cool Fish,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%,2018,"China Lion Film DistributionSee full company information

","$71,187","November 16, 2018
            (Domestic, China)",,1 hr 49 min,Comedy,"See more details at IMDbPro

",
54,55,Game Night,"$117,679,066","$69,179,066",58.8%,"$48,500,000",41.2%,2018,"Warner Bros.See full company information

","$17,005,332","February 22, 2018
            (11 markets)",R,1 hr 40 min,"Action
    
        Comedy
    
        Crime
    
        Mystery","See more details at IMDbPro

","$37,000,000"
55,56,Dragon Ball Super: Broly,"$115,560,610","$30,712,119",26.6%,"$84,848,491",73.4%,2018,"FUNimation EntertainmentSee full company information

","$9,816,197","December 15, 2018
            (Japan)",PG,1 hr 40 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

","$8,500,000"
56,57,The Monkey King 3,"$115,084,576","$187,074",0.2%,"$114,897,502",99.8%,2018,"Well Go USA EntertainmentSee full company information

","$95,577","February 15, 2018
            (APAC)",,1 hr 54 min,"Action
    
        Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

",
57,58,First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%,2018,"Universal PicturesSee full company information

","$16,006,065","October 10, 2018
            (Indonesia)",PG-13,2 hr 21 min,"Biography
    
        Drama
    
        History","See more details at IMDbPro

","$59,000,000"
58,59,Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%,2018,"Paramount PicturesSee full company information

","$13,582,231","May 17, 2018
            (EMEA, APAC)",PG-13,1 hr 44 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
59,60,Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%,2018,"Universal PicturesSee full company information

","$27,257,615","September 26, 2018
            (3 markets)",PG-13,1 hr 51 min,Comedy,"See more details at IMDbPro

","$29,000,000"
60,61,Alpha,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%,2018,"Studio 8See full company information

","$10,352,512","August 15, 2018
            (Trinidad & Tobago)",PG-13,1 hr 36 min,"Action
    
        Adventure
    
        Drama
    
        Family","See more details at IMDbPro

","$51,000,000"
61,62,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%,2018,"Well Go USA EntertainmentSee full company information

","$311,743","August 1, 2018
            (APAC, Domestic)",,2 hr 22 min,"Action
    
        Drama
    
        Fantasy","See more details at IMDbPro

",
62,63,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%,2018,"LionsgateSee full company information

","$16,011,689","September 12, 2018
            (Philippines)",R,1 hr 57 min,"Comedy
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$20,000,000"
63,64,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%,2018,"Fox Searchlight PicturesSee full company information

","$422,410","November 23, 2018
            (Domestic)",R,1 hr 59 min,"Biography
    
        Comedy
    
        Drama
    
        History","See more details at IMDbPro

",
64,65,Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%,2018,"Universal PicturesSee full company information

","$18,667,855","April 12, 2018
            (4 markets)",PG-13,1 hr 40 min,"Horror
    
        Thriller","See more details at IMDbPro

","$3,500,000"
65,66,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%,2018,"STX EntertainmentSee full company information

","$16,030,218","April 19, 2018
            (6 markets)",PG-13,1 hr 50 min,"Comedy
    
        Romance","See more details at IMDbPro

","$32,000,000"
66,67,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%,2018,"Universal PicturesSee full company information

","$20,556,350","March 29, 2018
            (APAC, EMEA)",R,1 hr 42 min,Comedy,"See more details at IMDbPro

","$21,000,000"
67,68,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%,2018,"Focus FeaturesSee full company information

","$10,845,330","August 9, 2018
            (Israel)",R,2 hr 15 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

","$15,000,000"
68,69,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$15,802,225","October 10, 2018
            (LATAM)",PG,1 hr 30 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Horror","See more details at IMDbPro

","$35,000,000"
69,70,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%,2018,"Well Go USA EntertainmentSee full company information

","$27,474","September 30, 2018
            (China)",Not Rated,1 hr 56 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy
    
        History
    
        War","See more details at IMDbPro

",
70,71,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%,2018,"Pantelion FilmsSee full company information

","$14,711,101","May 3, 2018
            (LATAM, EMEA)",PG-13,1 hr 52 min,"Comedy
    
        Romance","See more details at IMDbPro

","$12,000,000"
71,72,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%,2018,"Paramount PicturesSee full company information

","$10,604,774","March 15, 2018
            (EMEA, APAC)",PG,1 hr 26 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Mystery
    
        Romance","See more details at IMDbPro

","$59,000,000"
72,73,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%,2018,"Well Go USA EntertainmentSee full company information

","$126,929","July 26, 2018
            (APAC)",,2 hr 12 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy","See more details at IMDbPro

",
73,74,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%,2018,"LionsgateSee full company information

","$9,195,670","November 20, 2018
            (Indonesia)",PG-13,1 hr 56 min,"Action
    
        Adventure
    
        Drama
    
        Thriller","See more details at IMDbPro

","$100,000,000"
74,75,I Can Only Imagine,"$86,075,110","$83,482,352",97%,"$2,592,758",3%,2018,"Roadside AttractionsSee full company information

","$17,108,914","March 15, 2018
            (APAC)",PG,1 hr 50 min,"Biography
    
        Drama
    
        Family
    
        Music","See more details at IMDbPro

","$7,000,000"
75,76,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%,2018,"Universal PicturesSee full company information

","$7,559,850","December 5, 2018
            (7 markets)",PG-13,2 hr 8 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$100,000,000"
76,77,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%,2018,"STX EntertainmentSee full company information

","$15,206,108","January 18, 2018
            (APAC, EMEA)",R,2 hr 20 min,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
77,78,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%,2018,"A24See full company information

","$13,575,172","June 7, 2018
            (12 markets)",R,2 hr 7 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
78,79,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%,2018,"Warner Bros.See full company information

","$14,947,396","June 14, 2018
            (EMEA, APAC)",R,1 hr 40 min,Comedy,"See more details at IMDbPro

","$28,000,000"
79,80,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%,2018,"FIPSee full company information

","$2,723,349","June 28, 2018
            (EMEA, APAC)",,2 hr 35 min,"Biography
    
        Drama","See more details at IMDbPro

",
80,81,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%,2018,"Annapurna PicturesSee full company information

","$7,768,371","December 25, 2018
            (Domestic)",R,2 hr 12 min,"Biography
    
        Comedy
    
        Drama","See more details at IMDbPro

",
81,82,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%,2018,"Twentieth Century FoxSee full company information

","$12,361,307","November 9, 2018
            (United Kingdom)",R,2 hr 9 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

","$42,000,000"
82,83,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$19,007,566","June 27, 2018
            (APAC, EMEA)",R,2 hr 2 min,"Action
    
        Adventure
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

","$35,000,000"
83,84,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%,2018,"Screen GemsSee full company information

","$388,769","August 23, 2018
            (Thailand)",PG-13,1 hr 42 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
84,85,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%,2018,"LionsgateSee full company information

","$12,103,043","August 1, 2018
            (APAC, EMEA)",R,1 hr 57 min,"Action
    
        Adventure
    
        Comedy","See more details at IMDbPro

","$40,000,000"
85,86,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%,2018,"STX EntertainmentSee full company information

","$6,489,983","December 6, 2018
            (APAC)",PG-13,1 hr 43 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

","$16,000,000"
86,87,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%,2018,Walt Disney Studios,"$449,839","July 27, 2001
            (Japan)",PG,2 hr 5 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Mystery","See more details at IMDbPro

",
87,88,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%,2018,"Magnolia PicturesSee full company information

","$89,264","June 8, 2018
            (Japan)",R,2 hr 1 min,"Crime
    
        Drama","See more details at IMDbPro

",
88,89,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%,2018,"Warner Bros.See full company information

","$15,815,025","January 17, 2018
            (EMEA, APAC)",R,2 hr 10 min,"Action
    
        Drama
    
        History
    
        War","See more details at IMDbPro

",
89,90,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%,2018,"Twentieth Century FoxSee full company information

","$11,756,244","March 16, 2018
            (Domestic)",PG-13,1 hr 50 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

","$17,000,000"
90,91,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%,2018,"STX EntertainmentSee full company information

","$13,710,825","August 16, 2018
            (Greece)",R,1 hr 34 min,"Action
    
        Thriller","See more details at IMDbPro

","$50,000,000"
91,92,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%,2018,"Warner Bros.See full company information

","$17,886,075","May 10, 2018
            (EMEA, APAC)",PG-13,1 hr 45 min,Comedy,"See more details at IMDbPro

",
92,93,Capernaum,"$64,413,178","$1,661,096",2.6%,"$62,752,082",97.4%,2018,"Sony Pictures ClassicsSee full company information

","$24,988","October 17, 2018
            (France)",R,2 hr 6 min,Drama,"See more details at IMDbPro

",
93,94,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%,2018,"Fox Searchlight PicturesSee full company information

","$1,620,294","March 23, 2018
            (Domestic)",PG-13,1 hr 41 min,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
94,95,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%,2018,"STX EntertainmentSee full company information

","$11,603,039","May 31, 2018
            (EMEA, APAC)",PG-13,1 hr 36 min,"Action
    
        Adventure
    
        Biography
    
        Drama
    
        Romance
    
        Thriller","See more details at IMDbPro

","$35,000,000"
95,96,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%,2018,"Warner Bros.See full company information

","$12,554,286","February 7, 2018
            (EMEA)",PG-13,1 hr 34 min,"Biography
    
        Drama
    
        Thriller","See more details at IMDbPro

","$30,000,000"
96,97,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%,2018,"LionsgateSee full company information

","$3,190,525","January 26, 2018
            (APAC, EMEA)",PG,1 hr 29 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sport","See more details at IMDbPro

",
